,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
2594,STELLANTIS N.V,SHS,N82405106,1321964,56688,SH,SOLE,56688,0,0
2595,STEM INC,COM,85859N102,161683,41671,SH,SOLE,41671,0,0
2596,STEPAN CO,COM,858586100,366570,3877,SH,SOLE,3877,0,0
2597,STEPSTONE GROUP INC,COM CL A,85914M107,1071430,33661,SH,SOLE,33661,0,0
2598,STMICROELECTRONICS N V,NY REGISTRY,861012102,24350848,485754,SH,SOLE,485754,0,0
2599,STRYKER CORPORATION,COM,863667101,281792,941,SH,OTR,0,941,0
2600,STRYKER CORPORATION,COM,863667101,1361345,4546,SH,SOLE,4546,0,0
2601,STRYKER CORPORATION,COM,863667101,7486500,25000,SH,SOLE,25000,0,0
2602,STRYKER CORPORATION,COM,863667101,7486500,25000,SH,SOLE,25000,0,0
2603,SUMMIT HOTEL PPTYS INC,COM,866082100,14549,2165,SH,OTR,0,2165,0
2604,SUMMIT HOTEL PPTYS INC,COM,866082100,13262928,1973650,SH,SOLE,1973650,0,0
2605,SUN CMNTYS INC,COM,866674104,24993,187,SH,OTR,0,187,0
2606,SUN CMNTYS INC,COM,866674104,94809038,709383,SH,SOLE,709383,0,0
2607,SUN CTRY AIRLS HLDGS INC,COM,866683105,58925,3746,SH,OTR,0,3746,0
